#
 0,     EXPLORE/False,30,  0.03,  0.01, * ----              |                   ,  0.03,  0.07
 0,            random,40,  0.03,  0.01, *---                |                   ,  0.03,  0.07
 0,      EXPLORE/True,40,  0.03,  0.01, * ---               |                   ,  0.03,  0.06
 0,      exploit/True,30,  0.03,  0.03, *     --            |                   ,  0.03,  0.08
 0,      EXPLORE/True,20,  0.03,  0.01, *----               |                   ,  0.03,  0.07
#
 1,     EXPLORE/False,40,  0.04,  0.03,  *     -            |                   ,  0.03,  0.09
 1,            random,30,  0.04,  0.01, - *----             |                   ,  0.03,  0.07
 1,      exploit/True,20,  0.04,  0.03,   *   ------        |                   ,  0.03,  0.09
 1,      exploit/True,40,  0.04,  0.02,   *  ----           |                   ,  0.03,  0.08
#
 2,      EXPLORE/True,30,  0.04,  0.02, - * ----            |                   ,  0.03,  0.08
 2,     EXPLORE/False,20,  0.04,  0.02, - *  ----           |                   ,  0.03,  0.09
 2,     exploit/False,30,  0.04,  0.03, - *    -            |                   ,  0.03,  0.09
 2,            random,20,  0.04,  0.03, --*    ----         |                   ,  0.03,  0.08
#
 3,     exploit/False,10,  0.05,  0.03, -- *    ----------  |                   ,  0.03,  0.12
 3,            random,10,  0.05,  0.04, --  *      ---      |                   ,  0.03,  0.10
 3,     exploit/False,40,  0.05,  0.02, --  * ----          |                   ,  0.03,  0.09
 3,     exploit/False,20,  0.05,  0.03, --  *   ----------- |                   ,  0.03,  0.12
 3,      EXPLORE/True,10,  0.05,  0.04,      *  -----       |                   ,  0.03,  0.11
 3,      exploit/True,10,  0.05,  0.02,  --  * ------------ |                   ,  0.03,  0.21
#
 4,     EXPLORE/False,10,  0.08,  0.03,   -----    *        |                   ,  0.03,  0.15
#
 5,        baseline,5184,  0.09,  0.03,          --   *  ---|--                 ,  0.06,  0.19
